Country,Item,Price,Price_Clean
Hungary,Meal at inexpensive restaurant,$535.23,535.23
Hungary,Milk (1 liter),$486.63,486.63
Hungary,Apartment (1 bedroom) in City Centre,$276.38,276.38
Hungary,Monthly Pass (Public Transport),$570.94,570.94
Hungary,Internet (60 Mbps or More),$361.63,361.63
Austria,Meal at inexpensive restaurant,$519.14,519.14
Austria,Milk (1 liter),$657.42,657.42
Austria,Apartment (1 bedroom) in City Centre,$68.37,68.37
Austria,Monthly Pass (Public Transport),$97.84,97.84
Austria,Internet (60 Mbps or More),$974.68,974.68
Slovakia,Meal at inexpensive restaurant,$552.47,552.47
Slovakia,Milk (1 liter),$65.85,65.85
Slovakia,Apartment (1 bedroom) in City Centre,$449.63,449.63
Slovakia,Monthly Pass (Public Transport),$404.87,404.87
Slovakia,Internet (60 Mbps or More),$223.39,223.39
Ukraine,Meal at inexpensive restaurant,$159.81,159.81
Ukraine,Milk (1 liter),$763.77,763.77
Ukraine,Apartment (1 bedroom) in City Centre,$517.77,517.77
Ukraine,Monthly Pass (Public Transport),$307.78,307.78
Ukraine,Internet (60 Mbps or More),$999.45,999.45
Romania,Meal at inexpensive restaurant,$252.81,252.81
Romania,Milk (1 liter),$398.71,398.71
Romania,Apartment (1 bedroom) in City Centre,$417.4,417.4
Romania,Monthly Pass (Public Transport),$359.04,359.04
Romania,Internet (60 Mbps or More),$795.18,795.18
Serbia,Meal at inexpensive restaurant,$669.4,669.4
Serbia,Milk (1 liter),$382.29,382.29
Serbia,Apartment (1 bedroom) in City Centre,$719.75,719.75
Serbia,Monthly Pass (Public Transport),$711.43,711.43
Serbia,Internet (60 Mbps or More),$711.34,711.34
Croatia,Meal at inexpensive restaurant,$661.17,661.17
Croatia,Milk (1 liter),$542.79,542.79
Croatia,Apartment (1 bedroom) in City Centre,$894.82,894.82
Croatia,Monthly Pass (Public Transport),$65.12,65.12
Croatia,Internet (60 Mbps or More),$796.0,796.0
Slovenia,Meal at inexpensive restaurant,$703.82,703.82
Slovenia,Milk (1 liter),$506.93,506.93
Slovenia,Apartment (1 bedroom) in City Centre,$683.93,683.93
Slovenia,Monthly Pass (Public Transport),$527.41,527.41
Slovenia,Internet (60 Mbps or More),$838.56,838.56
